WRS_The_Red_Junta:2 "The Red Junta"
WRS_Back_to_Work:2 "Back to Work"
WRS_Back_to_Work_desc:0 ""
WRS_Agricultural_Reforms:2 "Agricultural Reforms"
WRS_Agricultural_Reforms_desc:0 ""
WRS_Breakthroughs_in_Agriculture:2 "Breakthroughs in Agriculture"
WRS_Breakthroughs_in_Agriculture_desc:0 ""
WRS_A_functioning_arms_industry:2 "A functioning arms industry"
WRS_A_functioning_arms_industry_desc:0 ""
WRS_Mining_Reforms:2 "Mining Reforms"
WRS_Mining_Reforms_desc:0 ""
WRS_Archangelsk_Coal_Mines:2 "Archangelsk Coal Mines"
WRS_Archangelsk_Coal_Mines_desc:0 ""
WRS_facilitate_Steel_Mines:2 "facilitate Steel Mines"
WRS_facilitate_Steel_Mines_desc:0 ""
WRS_Mezens_Industry:2 "Mezens Industry"
WRS_Mezens_Industry_desc:0 ""
WRS_Crush_the_Traitor:2 "Crush the Traitor"
WRS_Crush_the_Traitor_desc:0 ""
WRS_Incorporate_Syktyvkar:2 "Incorporate Syktyvkar"
WRS_Incorporate_Syktyvkar_desc:0 ""
WRS_Reeducate_their_Soldiers:2 "Reeducate their Soldiers"
WRS_Reeducate_their_Soldiers_desc:0 ""
WRS_A_Deal_With_the_Navy:2 "A Deal With the Navy"
WRS_A_Deal_With_the_Navy_desc:0 ""
WRS_Aim_for_an_diplomatic_solution:2 "Aim for an diplomatic solution"
WRS_Aim_for_an_diplomatic_solution_desc:0 ""
WRS_Apply_Pressure:2 "Apply Pressure"
WRS_Apply_Pressure_desc:0 ""
WRS_The_Airforce:2 "The Airforce"
WRS_The_Airforce_desc:0 ""
WRS_A_new_Nation:2 "A new Nation"
WRS_A_new_Nation_desc:0 ""
WRS_Usinsks_Industry:2 "Usinsks Industry"
WRS_Usinsks_Industry_desc:0 ""
WRS_The_Red_Economy:2 "The Red Economy"
WRS_The_Red_Economy_desc:0 ""
WRS_Death_of_Voroshilov:2 "Death of Voroshilov"
WRS_Death_of_Voroshilov_desc:0 ""
WRS_The_Power_Struggle:2 "The Power Struggle"
WRS_The_Power_Struggle_desc:0 ""
WRS_Zhukov:2 "Zhukov"
WRS_Zhukov_desc:0 ""
WRS_Rush_the_Troops_West:2 "Rush the Troops West"
WRS_Rush_the_Troops_West_desc:0 ""
WRS_The_Defense_of_the_southern_Lands:2 "The Defense of the southern Lands"
WRS_The_Defense_of_the_southern_Lands_desc:0 ""
WRS_Tukhachevsky:2 "Tukhachevsky"
WRS_Tukhachevsky_desc:0 ""
WRS_Rush_the_Troops_north:2 "Rush the Troops north"
WRS_Rush_the_Troops_north_desc:0 ""
WRS_New_Recruits:2 "New Recruits"
WRS_New_Recruits_desc:0 ""
WRS_Every_Weapon_Counts:2 "Every Weapon Counts"
WRS_Every_Weapon_Counts_desc:0 ""
WRS_Weapons_for_the_Peasents:2 "Weapons for the Peasents"
WRS_Weapons_for_the_Peasents_desc:0 ""
WRS_Rally_the_Soldiers:2 "Rally the Soldiers"
WRS_Rally_the_Soldiers_desc:0 ""
WRS_Defense_of_Archangelsk:2 "Defense of Archangelsk"
WRS_Defense_of_Archangelsk_desc:0 ""
WRS_Assault_Kotlas:2 "Assault Kotlas"
WRS_Assault_Kotlas_desc:0 ""
WRS_Assault_Uchta:2 "Assault Uchta"
WRS_Assault_Uchta_desc:0 ""
WRS_Everyone_into_the_Factories:2 "Everyone into the Factories"
WRS_Everyone_into_the_Factories_desc:0 ""
WRS_Incorporate_the_captured_Soldiers_from_Uchta:2 "Incorporate the captured Soldiers from Uchta"
WRS_Incorporate_the_captured_Soldiers_from_Uchta_desc:0 ""
WRS_Incorporate_the_captured_soldiers_from_Kotlas:2 "Incorporate the captured soldiers from Kotlas"
WRS_Incorporate_the_captured_soldiers_from_Kotlas_desc:0 ""
WRS_Finally_Peace:2 "Finally Peace"
WRS_Finally_Peace_desc:0 ""
WRS_Glory_to_the_Red_State:2 "Glory to the Red State"
WRS_Glory_to_the_Red_State_desc:0 ""
WRS_Glory_to_the_White_State:2 "Glory to the White State"
WRS_Glory_to_the_White_State_desc:0 ""
WRS_Nearly_Over:2 "Nearly Over"
WRS_Nearly_Over_desc:0 ""
WRS_The_Raid_of_the_Navy:2 "The Raid of the Navy"
WRS_The_Raid_of_the_Navy_desc:0 ""
WRS_Plan_backfired:2 "Plan backfired"
WRS_Plan_backfired_desc:0 ""
WRS_Our_Ally_as_our_Enemy:2 "Our Ally as our Enemy"
WRS_Our_Ally_as_our_Enemy_desc:0 ""
WRS_Eastwards:2 "Eastwards"
WRS_Eastwards_desc:0 ""
WRS_Finish_off_the_Whites:2 "Finish off the Whites"
WRS_Finish_off_the_Whites_desc:0 ""
WRS_Our_Southern_Lands_restored:2 "Our Southern Lands restored"
WRS_Our_Southern_Lands_restored_desc:0 ""
WRS_Cooperation_with_the_Navy:2 "Cooperation with the Navy"
WRS_Cooperation_with_the_Navy_desc:0 ""
WRS_Red_Unity:2 "Red Unity"
WRS_Red_Unity_desc:0 ""
WRS_Voluntary_Ships_to_the_army:2 "Voluntary Ships to the army"
WRS_Voluntary_Ships_to_the_army_desc:0 ""
WRS_Encourage_Naval_Training:2 "Encourage Naval Training"
WRS_Encourage_Naval_Training_desc:0 ""
WRS_Encourage_Dockyards:2 "Encourage Dockyards"
WRS_Encourage_Dockyards_desc:0 ""
WRS_Playing_on_our_Battlefield:2 "Playing on our Battlefield"
WRS_Playing_on_our_Battlefield_desc:0 ""
WRS_Keep_the_Civilians_Safe:2 "Keep the Civilians Safe"
WRS_Keep_the_Civilians_Safe_desc:0 ""
WRS_Dont_let_their_Ships_escape:2 "Dont let their Ships escape"
WRS_Dont_let_their_Ships_escape_desc:0 ""
WRS_Our_Path_to_their_Captial:2 "Our Path to their Captial"
WRS_Our_Path_to_their_Captial_desc:0 ""
WRS_Their_Ships_secured:2 "Their Ships secured"
WRS_Their_Ships_secured_desc:0 ""
WRS_Onwards:2 "Onwards"
WRS_Onwards_desc:0 ""
